accuracy,loss,val_accuracy,val_loss,learning_rate
0.6943584680557251,0.8486583232879639,0.8596974015235901,0.4023008346557617,9.999999747378752e-05
0.826797366142273,0.5006070137023926,0.8930536508560181,0.3063100278377533,9.999999747378752e-05
0.8528552055358887,0.4215719997882843,0.9095598459243774,0.2717883288860321,9.999999747378752e-05
0.8742690086364746,0.37765368819236755,0.9047455191612244,0.2711673080921173,9.999999747378752e-05
0.8769350051879883,0.35525354743003845,0.912998616695404,0.24566486477851868,9.999999747378752e-05
0.8859649300575256,0.3320271372795105,0.9164373874664307,0.23918025195598602,9.999999747378752e-05
0.8908668756484985,0.3226885199546814,0.9136863946914673,0.24865099787712097,9.999999747378752e-05
0.8910388946533203,0.3146539032459259,0.9209078550338745,0.22799979150295258,9.999999747378752e-05
0.8937908411026001,0.30095574259757996,0.9212517142295837,0.22355912625789642,9.999999747378752e-05
0.8995528221130371,0.2870893180370331,0.9274415373802185,0.2079797089099884,9.999999747378752e-05
0.9030787944793701,0.2756274938583374,0.9277853965759277,0.2096254676580429,9.999999747378752e-05
0.9011867642402649,0.2831878960132599,0.9250344038009644,0.2139485776424408,9.999999747378752e-05
0.909270703792572,0.26842382550239563,0.9257221221923828,0.21114777028560638,1.9999999494757503e-05
