accuracy,loss,val_accuracy,val_loss,learning_rate
0.7078603506088257,0.8255656957626343,0.8511003851890564,0.4218228757381439,9.999999747378752e-05
0.8250774145126343,0.49936360120773315,0.8844566941261292,0.3306785821914673,9.999999747378752e-05
0.8545751571655273,0.426052063703537,0.9044016599655151,0.28155598044395447,9.999999747378752e-05
0.871345043182373,0.3828521966934204,0.9157496690750122,0.2528325319290161,9.999999747378752e-05
0.8764190077781677,0.3583964705467224,0.9274415373802185,0.22972501814365387,9.999999747378752e-05
0.8874269127845764,0.3308202922344208,0.9295048117637634,0.21873490512371063,9.999999747378752e-05
0.8889749050140381,0.32555192708969116,0.9312242269515991,0.21037042140960693,9.999999747378752e-05
0.8952528238296509,0.3081020414829254,0.9325997233390808,0.21093666553497314,9.999999747378752e-05
0.899638831615448,0.2928822636604309,0.9178129434585571,0.2365126609802246,9.999999747378752e-05
0.9014447927474976,0.29299864172935486,0.9367262721061707,0.1959533840417862,1.9999999494757503e-05
0.9018747806549072,0.2806762754917145,0.9336313605308533,0.20202010869979858,1.9999999494757503e-05
0.9047127366065979,0.27828720211982727,0.9336313605308533,0.19915081560611725,1.9999999494757503e-05
0.9049707651138306,0.2736554443836212,0.933287501335144,0.20125383138656616,3.999999989900971e-06
